Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.130.187.234-13.229.199.127-4564-56423-6,10.130.187.234,4564,13.229.199.127,56423,6,18/10/2023 11:49:38 上午,232,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,103448.27586206897,12931.034482758621,116.0,16.97056274847714,128.0,104.0,104.0,104.0,0.0,104.0,104.0,0,0,0,0,0,0,0,0,0,40,20,8620.689655172413,4310.3448275862065,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,8236,1,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.229.199.127-4792-56423-6,10.130.187.234,4792,13.229.199.127,56423,6,18/10/2023 11:47:41 上午,109154903,39,44,6427.0,11960.0,1380.0,0.0,164.79487179487177,315.1713134393971,1380.0,0.0,271.81818181818187,482.4305841247452,168.4486861758285,0.7603872819162324,1331157.3536585364,4197052.024251991,1.5054417E7,0.0,1.08958102E8,2867318.4736842103,5863096.947927622,1.5154998E7,0.0,1.09154903E8,2538486.1162790693,5575531.51298793,1.5089552E7,0.0,0,0,0,0,780,928,0.3572904095750971,0.4030968723411352,0.0,1380.0,218.89285714285717,411.69265697093334,169490.84380378659,0,1,0,0,0,0,0,0,1.0,221.53012048192772,164.7948717948718,271.8181818181818,0,0,0,0,0,0,39,6427,44,11960,-1,448,26,0,613636.857142857,866554.9530898061,2355695.0,22.0,1.4965584428571427E7,115275.94079115451,1.5054417E7,1.4729411E7,No Label
10.130.187.234-13.229.199.127-4792-56423-6,10.130.187.234,4792,13.229.199.127,56423,6,18/10/2023 11:49:41 上午,0,0,2,0.0,24.0,0,0,0,0,24.0,0.0,12.0,16.97056274847714,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,40,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,0.0,24.0,0.0,12.0,0,0,0,0,0,0,0,0,2,24,-1,448,0,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.229.199.127-4792-56423-6,10.130.187.234,4792,13.229.199.127,56423,6,18/10/2023 11:49:41 上午,190,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,126315.7894736842,15789.473684210525,95.0,5.656854249492381,99.0,91.0,91.0,91.0,0.0,91.0,91.0,0,0,0,0,0,0,0,0,0,40,20,10526.315789473683,5263.157894736842,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,509,1,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.229.199.127-4823-56423-6,10.130.187.234,4823,13.229.199.127,56423,6,18/10/2023 11:48:45 上午,60430793,17,23,2768.0,10649.0,828.0,0.0,162.82352941176467,270.7808697300544,1380.0,0.0,462.9999999999999,577.5002558047446,222.02257051301643,0.6619141999344605,1549507.5128205128,4507585.171152118,1.5130603E7,0.0,4.669447E7,2918404.375,6058327.870045022,1.5362821E7,240.0,6.0430793E7,2746854.227272727,5801472.525534636,1.5145726E7,0.0,0,0,0,0,340,496,0.28131353497214573,0.3806006649623148,0.0,1380.0,327.24390243902445,487.3615588291615,237521.28902439022,0,1,0,0,0,0,0,0,1.0,335.425,162.8235294117647,463.0,0,0,0,0,0,0,17,2768,23,10649,-1,471,10,0,415879.5,685686.5261417446,1431227.0,32.0,1.469181875E7,710349.2594296488,1.5130603E7,1.363564E7,No Label
10.130.187.234-13.229.199.127-4822-56423-6,10.130.187.234,4822,13.229.199.127,56423,6,18/10/2023 11:48:45 上午,60431051,11,15,1571.0,6054.0,1019.0,0.0,142.81818181818184,303.2767113320171,1380.0,0.0,403.59999999999997,576.8219334050525,126.17685566977812,0.4302423931035057,2417242.04,5578057.63896205,1.5142837E7,0.0,4.5464102E7,4546410.2,7240703.55952383,1.5157621E7,245.0,6.0431051E7,4316503.642857144,7016330.614717547,1.5186447E7,0.0,0,0,0,0,220,336,0.18202562785148318,0.24821676525202252,0.0,1380.0,282.40740740740733,484.06541669006646,234319.32763532765,0,1,0,0,0,0,0,0,1.0,293.2692307692308,142.8181818181818,403.6,0,0,0,0,0,0,11,1571,15,6054,-1,480,6,0,168903.25,215614.0718867471,450447.0,14.0,1.49388595E7,144381.4648064865,1.5142837E7,1.4813893E7,No Label
10.130.187.234-13.229.199.127-4823-56423-6,10.130.187.234,4823,13.229.199.127,56423,6,18/10/2023 11:49:46 上午,124,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,193548.38709677418,24193.548387096773,62.0,0.0,62.0,62.0,62.0,62.0,0.0,62.0,62.0,0,0,0,0,0,0,0,0,0,40,20,16129.032258064515,8064.516129032258,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.229.199.127-4822-56423-6,10.130.187.234,4822,13.229.199.127,56423,6,18/10/2023 11:49:46 上午,117,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,205128.20512820513,25641.02564102564,58.5,9.192388155425117,65.0,52.0,52.0,52.0,0.0,52.0,52.0,0,0,0,0,0,0,0,0,0,40,20,17094.017094017094,8547.008547008547,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.229.199.127-4893-56423-6,10.130.187.234,4893,13.229.199.127,56423,6,18/10/2023 11:49:49 上午,240028,8,7,1104.0,4640.0,625.0,0.0,138.0,218.89527828882663,1380.0,0.0,662.8571428571429,693.7269944705503,23930.54143683237,62.49270918392855,17144.85714285714,42531.684657725185,119368.0,0.0,123979.0,17711.285714285717,45134.82878263853,120044.0,60.0,235821.0,39303.5,60770.034015952304,119830.0,0.0,0,0,0,0,160,164,33.329444898095225,29.16326428583332,0.0,1380.0,359.0,540.9166294356276,292590.8,0,1,0,0,0,0,0,0,0.0,382.93333333333334,138.0,662.8571428571429,0,0,0,0,0,0,8,1104,7,4640,-1,488,5,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.229.199.127-4890-56423-6,10.130.187.234,4890,13.229.199.127,56423,6,18/10/2023 11:49:49 上午,241619,11,7,1040.0,4640.0,561.0,0.0,94.54545454545455,177.0668594832831,1380.0,0.0,662.8571428571429,693.7269944705503,23508.085042980892,74.49745260099579,14212.882352941177,38905.75094199178,119343.0,0.0,125489.0,12548.9,37687.449627605914,119772.0,68.0,237643.0,39607.16666666667,60576.09201794605,119830.0,0.0,0,0,0,0,256,164,45.526221033941866,28.971231567053916,0.0,1380.0,298.94736842105254,509.7402904839779,259835.16374269014,0,1,0,0,0,0,0,0,0.0,315.55555555555554,94.54545454545455,662.8571428571429,0,0,0,0,0,0,11,1040,7,4640,-1,488,5,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.229.199.127-4891-56423-6,10.130.187.234,4891,13.229.199.127,56423,6,18/10/2023 11:49:49 上午,246132,8,7,1018.0,4640.0,539.0,0.0,127.25000000000001,192.02436601342328,1380.0,0.0,662.8571428571429,693.7269944705503,22987.66515528253,60.94290868314563,17580.857142857145,42387.322741697084,119352.0,0.0,130030.0,18575.714285714286,45549.72128240481,121766.0,124.0,237644.0,39607.33333333333,60578.29914636648,119830.0,0.0,0,0,0,0,160,164,32.50288463101101,28.44002405213463,0.0,1380.0,353.625,538.5191887636565,290002.9166666667,0,1,0,0,0,0,0,0,0.0,377.2,127.25,662.8571428571429,0,0,0,0,0,0,8,1018,7,4640,-1,488,5,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.229.199.127-4892-56423-6,10.130.187.234,4892,13.229.199.127,56423,6,18/10/2023 11:49:49 上午,246323,8,7,1018.0,4639.0,539.0,0.0,127.25000000000001,192.02436601342328,1380.0,0.0,662.7142857142857,693.7662224615518,22965.78070257345,60.89565326826971,17594.499999999996,43343.641316540576,121993.0,0.0,128272.0,18324.571428571424,45809.95983356,122182.0,127.0,240177.0,40029.5,62031.34147751441,122445.0,0.0,0,0,0,0,160,164,32.477681743077184,28.417971525192534,0.0,1380.0,353.56250000000006,538.5011258112652,289983.4625,0,1,0,0,0,0,0,0,0.0,377.1333333333333,127.25,662.7142857142857,0,0,0,0,0,0,8,1018,7,4639,-1,488,5,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.229.199.127-4894-56423-6,10.130.187.234,4894,13.229.199.127,56423,6,18/10/2023 11:49:49 上午,248059,8,7,1104.0,4641.0,625.0,0.0,138.0,218.89527828882663,1380.0,0.0,663.0,693.6879701998587,23159.812786474184,60.46948508217803,17718.5,43369.59657808859,121992.0,0.0,129712.0,18530.285714285717,46405.798386675364,123714.0,63.0,241830.0,40305.0,61913.90713563472,122344.0,0.0,0,0,0,0,160,164,32.250392043828285,28.219093038349747,0.0,1380.0,359.06250000000006,540.934064836002,292609.6625,0,1,0,0,0,0,0,0,0.0,383.0,138.0,663.0,0,0,0,0,0,0,8,1104,7,4641,-1,488,5,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.229.199.127-4834-56423-6,10.130.187.234,4834,13.229.199.127,56423,6,18/10/2023 11:48:53 上午,60285949,15,20,2179.0,7574.0,866.0,0.0,145.26666666666665,255.79161905924983,1380.0,0.0,378.70000000000005,551.7277265196361,161.77899098843082,0.5805664600220526,1773116.1470588236,4875079.88493598,1.5156828E7,0.0,4.5631173E7,3259369.5,6428596.747929589,1.5245403E7,141.0,6.0285949E7,3172944.6842105263,6247516.6049381755,1.5156828E7,0.0,0,0,0,0,300,436,0.24881419715230824,0.3317522628697443,0.0,1380.0,270.91666666666663,454.88575488797187,206921.05000000002,0,1,0,0,0,0,0,0,1.0,278.65714285714284,145.26666666666668,378.7,0,0,0,0,0,0,15,2179,20,7574,-1,475,9,0,147430.0,239449.59133395905,501116.0,29.0,1.492405725E7,268897.8905723323,1.5156828E7,1.4538531E7,No Label
10.130.187.234-13.229.199.127-4834-56423-6,10.130.187.234,4834,13.229.199.127,56423,6,18/10/2023 11:49:54 上午,209,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,114832.53588516745,14354.066985645932,104.5,14.849242404917497,115.0,94.0,115.0,115.0,0.0,115.0,115.0,0,0,0,0,0,0,0,0,0,40,20,9569.377990430621,4784.688995215311,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.229.199.127-4836-56423-6,10.130.187.234,4836,13.229.199.127,56423,6,18/10/2023 11:48:53 上午,60364773,17,24,2354.0,6563.0,1043.0,0.0,138.47058823529412,269.1698157406999,1380.0,0.0,273.4583333333333,492.41904911115716,147.71860402755098,0.6792040781798351,1509119.3250000002,4521111.526781039,1.5076423E7,0.0,4.5695127E7,2855945.4375,6055040.52550741,1.5080979E7,146.0,6.0364773E7,2624555.347826087,5772281.801090124,1.5127656E7,0.0,0,0,0,0,340,516,0.28162120314773653,0.3975828750320986,0.0,1380.0,212.3095238095238,412.1242109764221,169846.36527293848,0,1,0,0,0,0,0,0,1.0,217.4878048780488,138.47058823529412,273.4583333333333,0,0,0,0,0,0,17,2354,24,6563,-1,475,10,0,191526.25,316470.32467133994,660330.0,71.0,1.4899667E7,255755.72266389953,1.5076423E7,1.4520682E7,No Label
